Var1,Var2
79,air conditioner
38,air duct
25,air vent
525,alarm
156,alarm clock
822,album
708,aluminium foil
870,american flag
796,antenna
334,apple
377,ashtray
680,avocado
494,baby chair
591,baby gate
656,back scrubber
206,backpack
55,bag
690,bag of bagels
245,bag of chips
285,bag of flour
747,bag of hot dog buns
692,bag of oreo
689,bagel
260,baking dish
60,ball
385,balloon
147,banana
691,banana peel
453,banister
51,bar
564,bar of soap
343,barrel
825,baseball
39,basket
542,basketball
162,basketball hoop
414,bassinet
136,bathtub
797,bean bag
157,bed
352,bed sheets
808,bedding package
780,beeper
610,belt
204,bench
189,bicycle
337,bicycle helmet
307,bin
399,binder
225,blackboard
312,blanket
268,blender
80,blinds
408,board
1,book
827,book holder
374,bookend
224,bookrack
85,books
88,bookshelf
773,boomerang
2,bottle
755,bottle of comet
633,bottle of contact lens solution
677,bottle of hand wash liquid
750,bottle of ketchup
685,bottle of liquid
676,bottle of listerine
840,bottle of perfume
502,bottle of soap
22,bowl
26,box
503,box of paper
271,box of ziplock bags
860,bracelet
246,bread
695,brick
617,briefcase
328,broom
427,bucket
688,bulb
804,bunk bed
535,business cards
712,butterfly sculpture
774,button
3,cabinet
168,cable box
73,cable modem
104,cable rack
450,cables
641,cactus
289,cake
200,calculator
583,calendar
40,camera
329,can
857,can of beer
280,can of food
279,can opener
605,candelabra
137,candle
148,candlestick
555,cane
794,canister
355,cannister
593,cans of cat food
441,cap stand
530,car
452,cardboard sheet
413,cardboard tube
305,cart
397,carton
851,case
365,casserole dish
594,cat
608,cat bed
580,cat cage
856,cat house
207,cd
585,cd disc
4,ceiling
720,celery
290,cell phone
602,cell phone charger
878,centerpiece
643,ceramic frog
790,certificate
5,chair
428,chalkboard
342,chandelier
726,chapstick
743,charger
574,charger and wire
411,chart
495,chart roll
393,chart stand
198,chessboard
344,chest
491,child carrier
702,chimney
112,circuit breaker box
392,classroom board
548,cleaner
381,cleaning wipes
536,clipboard
56,clock
492,cloth bag
549,cloth drying stand
141,clothes
501,clothing detergent
498,clothing dryer
556,clothing drying rack
770,clothing hamper
214,clothing hanger
572,clothing iron
499,clothing washer
387,coaster
400,coat hanger
226,coffee bag
237,coffee grinder
234,coffee machine
227,coffee packet
893,coffee pot
356,coffee table
308,coins
297,coke bottle
694,collander
176,cologne
94,column
809,comb
484,comforter
46,computer
616,computer disk
673,conch shell
6,cone
613,console controller
518,console system
634,contact lens case
173,contact lens solution bottle
140,container
637,container of skin cream
252,cooking pan
761,cooking pot cover
528,copper vessel
474,cordless phone
545,cordless telephone
34,cork board
713,corkscrew
716,corn
7,counter
493,cradle
183,crate
511,crayon
635,cream
653,cream tube
485,crib
330,crock pot
35,cup
89,curtain
582,curtain rod
247,cutting board
345,decanter
842,decoration item
767,decorative bottle
826,decorative bowl
865,decorative candle
757,decorative dish
862,decorative egg
853,decorative item
383,decorative plate
370,decorative platter
159,deoderant
36,desk
475,desk drawer
473,desk mat
829,desser
248,dish brush
368,dish cover
581,dish rack
261,dish scrubber
733,dishes
8,dishwasher
444,display board
540,display case
877,display platter
701,dog
858,dog bed
697,dog bowl
703,dog cage
736,dog toy
892,doily
99,doll
486,doll house
810,dollar bill
219,dolly
28,door
642,door  window  reflection
663,door curtain
657,door facing trimreflection
615,door frame
27,door knob
646,door lock
609,door way
686,door way arch
658,doorreflection
567,drain
174,drawer
371,drawer handle
833,drawer knob
169,dresser
145,drum
262,drying rack
554,drying stand
887,duck
115,duster
197,dvd
170,dvd player
325,dvds
152,earplugs
419,educational display
888,eggplant
699,eggs
550,electric box
369,electric mixer
142,electric toothbrush
629,electric toothbrush base
738,electrical kettle
98,electrical outlet
816,electronic drumset
476,envelope
843,envelopes
100,eraser
118,ethernet jack
155,excercise ball
457,excercise equipment
558,excercise machine
86,exit sign
335,eye glasses
787,eyeball plastic ball
665,face wash cream
74,fan
9,faucet
568,faucet handle
68,fax machine
543,fiberglass case
836,figurine
75,file
734,file box
469,file container
410,file holder
619,file pad
479,file stand
401,filing shelves
338,fire alarm
10,fire extinguisher
372,fireplace
782,fish tank
405,flag
201,flashcard
666,flashlight
693,flask
760,flask set
537,flatbed scanner
106,flipboard
11,floor
143,floor mat
868,floor trim
81,flower
595,flower basket
471,flower box
146,flower pot
69,folder
213,folders
715,food processor
752,food wrapped on a tray
510,foosball table
163,foot rest
166,football
349,fork
544,framed certificate
286,fruit
728,fruit basket
596,fruit platter
681,fruit stand
682,fruitplate
318,frying pan
551,furnace
524,furniture
516,game system
429,game table
850,garage door
269,garbage bag
12,garbage bin
763,garlic
223,gate
351,gift wrapping
185,gift wrapping roll
612,glass
316,glass baking dish
622,glass box
636,glass container
721,glass dish
412,glass pane
304,glass pot
216,glass rack
705,glass set
889,glass ware
347,globe
466,globe stand
729,glove
880,gold piece
462,grandfather clock
597,grapefruit
57,green screen
700,grill
300,guitar
771,guitar case
120,hair brush
577,hair dryer
748,hamburger bun
883,hammer
599,hand blender
845,hand fan
76,hand sanitizer
505,hand sanitizer dispenser
309,hand sculpture
838,hand weight
758,handle
211,hanger
209,hangers
96,hanging hooks
193,hat
586,head phone
584,head phones
802,headband
161,headboard
160,headphones
111,heater
714,heating tray
194,hockey glove
195,hockey stick
61,hole puncher
187,hookah
95,hooks
512,hoola hoop
513,horse toy
722,hot dogs
228,hot water heater
340,humidifier
478,id card
644,incense candle
672,incense holder
863,indoor fountain
824,inkwell
386,ipad
296,iphone
310,ipod
817,ipod dock
557,iron box
463,iron grill
313,ironing board
324,jacket
70,jar
849,jeans
311,jersey
687,jug
746,juicer
775,karate belts
378,key
47,keyboard
264,kichen towel
823,kinect
739,kitchen container plastic
456,kitchen island
253,kitchen items
266,kitchen utensil
753,kitchen utensils
598,kiwi
259,knife
258,knife rack
652,knob
600,knobs
759,label
48,ladder
254,ladel
144,lamp
859,lamp shade
37,laptop
164,laundry basket
500,laundry detergent jug
679,lazy susan
882,lectern
409,leg of a girl
805,lego
765,lemon
620,letter stand
533,lid
445,lid of jar
784,life jacket
62,light
566,light bulb
301,light switch
659,light switchreflection
354,lighting track
798,lint comb
178,lint roller
606,litter box
180,lock
783,luggage
803,luggage rack
407,lunch bag
220,machine
71,magazine
468,magazine holder
839,magic 8ball
23,magnet
65,mail shelf
618,mail tray
153,mailshelf
121,makeup brush
63,manilla envelope
58,mantel
874,mantle
107,map
191,mask
884,matchbox
576,mattress
730,measuring cup
776,medal
660,medicine tube
707,mellon
336,menorah
167,mens suit
315,mens tie
531,mezuza
818,microphone
821,microphone stand
13,microwave
869,mini display platform
122,mirror
789,model boat
91,modem
482,money
49,monitor
357,mortar and pestle
52,motion camera
103,mouse
539,mouse pad
229,muffins
749,mug hanger
744,mug holder
819,music keyboard
820,music stand
442,music stereo
569,nailclipper
244,napkin
230,napkin dispenser
235,napkin holder
350,napkin ring
341,necklace
779,necklace holder
873,newspapers
158,night stand
210,notebook
438,notecards
683,oil container
322,onion
709,orange
745,orange juicer
704,orange plastic cap
527,ornamental item
459,ornamental plant
735,ornamental pot
359,ottoman
238,oven
366,oven handle
754,oven mitt
807,package of bedroom sheets
875,package of bottled water
684,package of water
589,pan
15,paper
534,paper bundle
108,paper cutter
470,paper holder
77,paper rack
113,paper towel
14,paper towel dispenser
281,paper towel holder
538,paper tray
480,paper weight
483,papers
710,peach
97,pen
190,pen box
786,pen cup
464,pen holder
314,pen stand
396,pencil
101,pencil holder
885,pepper
579,pepper grinder
455,pepper shaker
655,perfume
654,perfume box
331,person
649,personal care liquid
363,phone jack
508,photo
864,photo album
298,piano
460,piano bench
64,picture
394,picture of fish
552,piece of wood
811,pig
119,pillow
740,pineapple
623,ping pong ball
624,ping pong racket
627,ping pong racquet
625,ping pong table
41,pipe
273,pitcher
274,pizza box
420,placard
154,placemat
82,plant
239,plant pot
231,plaque
320,plastic bowl
395,plastic box
489,plastic chair
402,plastic crate
621,plastic cup of coffee
723,plastic dish
403,plastic rack
514,plastic toy container
404,plastic tray
232,plastic tub
233,plate
129,platter
815,playpen
520,pool ball
517,pool sticks
515,pool table
406,poster board
116,poster case
16,pot
323,potato
451,power surge
66,printer
90,projector
53,projector screen
791,puppy toy
181,purse
472,pyramid
793,quill
575,quilt
236,radiator
188,radio
852,rags
497,railing
380,range hood
632,razor
861,reflection of window shutters
17,refridgerator
175,remote control
449,roll of paper towels
674,roll of toilet paper
571,rolled carpet
891,rolled up rug
87,room divider
560,rope
303,router
130,rug
72,ruler
737,salt and pepper
361,salt container
332,salt shaker
217,saucer
639,scale
240,scarf
832,scenary
29,scissor
294,sculpture
846,sculpture of the chrysler building
847,sculpture of the eiffel tower
848,sculpture of the empire state building
212,security camera
360,server
867,serving dish
876,serving platter
249,serving spoon
890,sewing machine
171,shaver
570,shaving cream
559,sheet
461,sheet music
287,sheet of metal
348,sheets
855,shelf frame
42,shelves
302,shirts in hanger
149,shoe
834,shoe hanger
614,shoe rack
785,shoelace
546,shofar
222,shopping baskets
319,shopping cart
192,shorts
607,shovel
454,show piece
667,shower base
132,shower cap
123,shower curtain
650,shower head
669,shower hose
651,shower knob
664,shower pipe
675,shower tube
727,sifter
208,sign
24,sink
270,sink protector
382,six pack of beer
841,sleeping bag
814,slide
133,soap
671,soap box
638,soap dish
506,soap holder
640,soap stand
662,soap tray
837,soccer ball
165,sock
83,sofa
422,soft toy
421,soft toy group
255,spatula
54,speaker
272,spice bottle
241,spice rack
256,spice stand
250,sponge
283,spoon
592,spoon sets
282,spoon stand
353,spot light
717,squash
131,squeeze tube
358,stack of plates
446,stacked bins  boxes
43,stacked chairs
447,stacked plastic racks
215,stairs
114,stamp
50,stand
202,staple remover
67,stapler
742,steamer
276,step stool
84,stereo
529,stick
725,sticker
561,sticks
578,stones
150,stool
812,storage bin
813,storage chest
448,storage rack
430,storage shelvesbooks
645,storage space
242,stove
18,stove burner
373,stroller
177,stuffed animal
44,styrofoam object
741,suger jar
379,suit jacket
199,suitcase
611,surge protect
326,surge protector
364,switchbox
19,table
375,table runner
292,tablecloth
218,tag
109,tape
30,tape dispenser
879,tea box
769,tea cannister
711,tea coaster
243,tea kettle
678,tea pot
32,telephone
31,telephone cord
467,telescope
172,television
626,tennis racket
835,tent
110,thermostat
872,throw
265,tin foil
648,tissue
138,tissue box
764,tissue roll
251,toaster
275,toaster oven
124,toilet
565,toilet bowl brush
630,toilet brush
139,toilet paper
647,toilet paper holder
563,toilet plunger
631,toiletries
125,toiletries bag
127,toothbrush
126,toothbrush holder
128,toothpaste
670,toothpaste holder
894,torah
696,torch
135,towel
134,towel rod
389,toy
830,toy apple
417,toy bin
795,toy boat
182,toy bottle
434,toy box
415,toy car
532,toy cash register
487,toy chair
801,toy chest
423,toy cube
431,toy cuboid
424,toy cylinder
831,toy dog
465,toy doll
828,toy horse
490,toy house
751,toy kitchen
435,toy phone
481,toy plane
788,toy pyramid
425,toy rectangle
416,toy shelf
436,toy sink
488,toy sofa
854,toy stroller
526,toy table
432,toy tree
426,toy triangle
391,toy truck
439,toy trucks
437,toyhouse
390,toys basket
496,toys box
443,toys rack
418,toys shelf
33,track light
521,trampoline
799,travel bag
179,tray
458,treadmill
541,tree sculpture
522,tricycle
844,trinket
257,trivet
504,trolley
221,trolly
547,trophy
604,tub of tupperware
327,tumbler
590,tuna cans
762,tupperware
291,tv stand
376,typewriter
203,umbrella
20,unknown
151,urn
587,usb drive
267,utensil
362,utensil container
317,utensils
306,vacuum cleaner
78,vase
184,vasoline
724,vegetable
277,vegetable peeler
719,vegetables
263,vessel
706,vessel set
601,vessels
871,vhs tapes
519,video game
196,vuvuzela
288,waffle maker
398,walkie talkie
866,walkietalkie
21,wall
186,wall decoration
800,wall divider
440,wall hand sanitizer dispenser
295,wall stand
661,wallet
772,wardrobe
278,washing machine
384,watch
102,water carboy
509,water cooler
507,water dispenser
731,water filter
339,water fountain
588,water heater
93,water purifier
718,watermellon
781,webcam
367,whisk
45,whiteboard
388,whiteboard eraser
117,whiteboard marker
523,wii
59,window
778,window box
573,window cover
477,window frame
777,window seat
668,window shelf
766,wine
732,wine accessory
333,wine bottle
293,wine glass
299,wine rack
92,wire
603,wire basket
792,wire board
105,wire rack
768,wire tray
321,wooden container
284,wooden kitchen utensils
553,wooden pillar
698,wooden plank
562,wooden planks
433,wooden toy
756,wooden utensil
346,wooden utensils
881,wreathe
628,xbox
806,yarmulka
886,yellow pepper
205,yoga mat
